Accepted Symbol,Synonym Symbol,Scientific Name,State and Province,Native Status,Invasive
MOPE6,MYPE7,Myrica pensylvanica,,,
MORU3,,Morella rubra,USA(GA),L48(I),
MORU3,MYRU3,Myrica rubra,,,
MOGA,,Morelotia gahniiformis,USA(HI),HI(N),
MOGA,GAGA3,Gahnia gahniiformis,,,
MOGA,MAGA,Machaerina gahniiformis,,,
MOAR6,,Moricandia arvensis,USA(VA),L48(I),
MOAR6,BRAR12,Brassica arvensis,,,
MORO3,,Morinda royoc,USA(FL),L48(N),
MORO3,MOUM2,Morinda umbellata,,,
MOTR,,Morinda trimera,USA(HI),HI(N),
MOTR,MOSA2,Morinda sandwicensis,,,
MOOL,,Moringa oleifera,"USA+(PR, VI), USA(FL, PW)",L48(I)PR(I)VI(I),
MOOL,MOMO4,Moringa moringa,,,
MOOL,MOPT,Moringa pterygosperma,,,
MOAL,,Morus alba,"CAN(BC, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(I)HI(I)CAN(I),"N'EAST, WI"
MOAL,MOALM,Morus alba var. multicaulis,,,
MOAL,MOALT,Morus alba var. tatarica,,,
MOAL,MOTA,Morus tatarica,,,
MOMI,,Morus microphylla,"USA(AZ, NM, OK, TX)",L48(N),
MOMI,MOCO3,Morus confinis,,,
MOMI,MOCR2,Morus crataegifolia,,,
MOMI,MOGR4,Morus grisea,,,
MOMI,MORA2,Morus radulina,,,
MORU2,,Morus rubra,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),
MORU2,MOMU2,Morus murrayana,,,
MORU2,MORUM,Morus rubra var. murrayana,,,
MODI4,,Mosla dianthera,"USA(GA, IN, KY, NC, TN)",L48(I),SEEPPC
MODI4,LYDI6,Lycopus diantherus,,,
MODI4,ORDI4,Orthodon dianthera,,,
MUCA3,,Mucronea californica,USA(CA),L48(N),
MUCA3,CHCA22,Chorizanthe californica,,,
MUCA3,CHCAS,Chorizanthe californica var. suksdorfii,,,
MUCA3,MUCAS,Mucronea californica var. suksdorfii,,,
MUPE2,,Mucronea perfoliata,USA(CA),L48(N),
MUPE2,CHPE4,Chorizanthe perfoliata,,,
MUPE2,CHPEO,Chorizanthe perfoliata var. opaca,,,
MUPE2,MUPEO,Mucronea perfoliata var. opaca,,,
MUPRP,,Mucuna pruriens var. pruriens,"USA+(PR, VI), USA(AL, FL, NC, SC)",L48(I)PR(N)VI(N),
MUPRP,STPR4,Stizolobium pruritum,,,
MUPRP,STPR5,Stizolobium pruriens,,,
MUPRU,,Mucuna pruriens var. utilis,USA(FL),L48(N),
MUPRU,MUAT2,Mucuna aterrima,,,
MUPRU,MUDE2,Mucuna deeringiana,,,
MUPRU,STAT3,Stizolobium aterrimum,,,
MUPRU,STCI11,Stizolobium cinereum,,,
MUPRU,STDE,Stizolobium deeringianum,,,
MUPRU,STNI7,Stizolobium niveum,,,
MUPRU,STVE5,Stizolobium velutinum,,,
MUCO3,,Muehlenbeckia complexa,USA(CA),L48(I)HI(I),
MUCO3,MUAX,Muehlenbeckia axillaris,,,
MULI3,,Muellerella lichenicola,,NA(N),
MUPY,,Muellerella pygmaea,,NA(N),
MUPY,TIPY,Tichothecium pygmaeum,,,
MUAN,,Muhlenbergia andina,"CAN(BC, MB, SK), USA(AZ, CA, CO, ID, KS, MT, NM, NV, OR, TX, UT, WA, WY)",L48(N)CAN(N),
MUAN,MUCO4,Muhlenbergia comata,,,
MUAS,,Muhlenbergia asperifolia,"CAN(AB, BC, MB, ON, SK), USA(AZ, CA, CO, IA, ID, IL, IN, KS, KY, MD, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY)",L48(N)CAN(N),
MUAS,SPAS3,Sporobolus asperifolius,,,
MUBU,,Muhlenbergia bushii,"USA(AR, GA, IA, IL, IN, KS, KY, LA, MD, MO, NC, NE, OK, TX, VA, WV)",L48(N),
MUBU,MUBR4,Muhlenbergia brachyphylla,,,
MUCU3,,Muhlenbergia cuspidata,"CAN(AB, MB, SK), USA(AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, TN, VA, WI, WY)",L48(N)CAN(N),
MUCU3,MUBR3,Muhlenbergia brevifolia,,,
MUEL2,,Muhlenbergia elongata,USA(AZ),L48(N),
MUEL2,MUXE,Muhlenbergia xerophila,,,
MUEM,,Muhlenbergia emersleyi,"USA(AZ, NC, NM, TX)",L48(N),
MUEM,MUGO,Muhlenbergia gooddingii,,,
MUEX,,Muhlenbergia expansa,"USA(AL, FL, GA, KY, LA, MS, NC, SC, TX, VA)",L48(N),
MUEX,AGTR7,Agrostis trichopodes,,,
MUEX,MUCAT,Muhlenbergia capillaris var. trichopodes,,,
MUFI2,,Muhlenbergia filiformis,"CAN(BC), USA(AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)",L48(N)CAN(N),
MUFI2,MUFIF,Muhlenbergia filiformis var. fortis,,,
MUFI2,MUID,Muhlenbergia idahoensis,,,
MUFI2,MUSI2,Muhlenbergia simplex,,,
MUFI3,,Muhlenbergia filipes,"USA(AL, FL, GA, LA, MS, NC, SC, TX)",L48(N),
MUFI3,MUCAF,Muhlenbergia capillaris var. filipes,,,
MUFI3,MUSE3,Muhlenbergia sericea,,,
MUFR2,,Muhlenbergia frondosa,"CAN(NB, ON, QC), USA(AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),"N'EAST, SWSS"
MUFR2,AGFR2,Agrostis frondosa,,,
MUFR2,MUCO5,Muhlenbergia commutata,,,
MUGL,,Muhlenbergia glabriflora,"USA(AL, AR, IA, IL, IN, KY, LA, MD, MO, MS, NC, TN, TX, VA)",L48(N),
MUGL,MUGL5,Muhlenbergia glabrifloris,,,
MUGL2,,Muhlenbergia glauca,"USA(AZ, CA, NM, TX)",L48(N),
MUGL2,MULE,Muhlenbergia lemmonii,,,
MUMA4,,Muhlenbergia macroura,,,
MUMA4,EPMA,Epicampes macroura,,,
MUME2,,Muhlenbergia mexicana,"CAN(BC, MB, NB, NS, ON, QC, SK, YT), USA(AL, AR, AZ, CA, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",L48(N)HI(I)CAN(N),
MUME2,AGME4,Agrostis mexicana,,,
MUME2,MUAM,Muhlenbergia ambigua,,,
MUME2,MUFO,Muhlenbergia foliosa,,,
MUME2,MUFOA,Muhlenbergia foliosa ssp. ambigua,,,
MUME2,MUFOS,Muhlenbergia foliosa ssp. setiglumis,,,
MUME2,MUMEF,Muhlenbergia mexicana var. filiformis,,,
MUMI,,Muhlenbergia microsperma,"USA(AZ, CA, HI, NV, UT)",L48(N)HI(I),
MUMI,MUDE3,Muhlenbergia debilis,,,
MUMI2,,Muhlenbergia minutissima,"USA(AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, TX, UT, WA, WY)",L48(N),
MUMI2,SPCO11,Sporobolus confusus,,,
MUMO,,Muhlenbergia montana,"USA(AZ, CA, CO, MT, NM, TX, UT, WY)",L48(N),
MUMO,MUTR4,Muhlenbergia trifida,,,
MUPA5,,Muhlenbergia palmeri,USA(AZ),L48(N),
MUPA5,MUDU2,Muhlenbergia dubioides,,,
MUPE3,,Muhlenbergia peruviana,"USA(AZ, NM)",L48(N),
MUPE3,MUPU,Muhlenbergia pulcherrima,,,
MURA,,Muhlenbergia racemosa,"CAN(AB, BC, MB, NS, ON, QC, SK), USA(AZ, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NH, NM, NV, NY, OK, OR, SD, TX, UT, VA, VT, WA, WI, WY)",L48(N)CAN(N),NE&GP
MURA,AGRA,Agrostis racemosa,,,
MURA4,,Muhlenbergia ramulosa,"USA(AZ, CO, NM)",L48(N),
MURA4,MUWO,Muhlenbergia wolfii,,,
MURA4,SPRA3,Sporobolus ramulosus,,,
MURI,,Muhlenbergia richardsonis,"CAN(AB, BC, MB, NB, NT, ON, QC, SK, YT), USA(AK, AZ, CA, CO, ID, ME, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WI, WY)",L48(N)AK(N)CAN(N),
MURI,MUSQ2,Muhlenbergia squarrosa,,,
MURI2,,Muhlenbergia rigens,"USA(AZ, CA, NM, NV, TX)",L48(N),
MURI2,EPRI3,Epicampes rigens,,,
MURI2,MUMA3,Muhlenbergia marshii,,,
MURI2,MUMU2,Muhlenbergia mundula,,,
MURI3,,Muhlenbergia rigida,"USA(AZ, NM, TX)",L48(N),
MURI3,MUME,Muhlenbergia metcalfei,,,
MUSC,,Muhlenbergia schreberi,"CAN(ON), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV)",L48(N)CAN(N),"KY, N'EAST, NE&GP, STATE, SWSS"
MUSC,MUPA6,Muhlenbergia palustris,,,
MUSC,MUSCP,Muhlenbergia schreberi var. palustris,,,
MUSO,,Muhlenbergia sobolifera,"CAN(ON), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),
MUSO,AGSO,Agrostis sobolifera,,,
MUSO,MUSOS,Muhlenbergia sobolifera var. setigera,,,
MUSP4,,Muhlenbergia spiciformis,"USA(NM, TX)",L48(N),
MUSP4,MUPA,Muhlenbergia parviglumis,,,
MUST,,Muhlenbergia straminea,"USA(AZ, NM)",L48(N),
MUST,MUVI2,Muhlenbergia virescens,,,
MUSY,,Muhlenbergia sylvatica,"CAN(ON, QC), USA(AL, AR, AZ, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",L48(N)CAN(N),
MUSY,AGSY,Agrostis sylvatica,,,
MUSY,MUSYR,Muhlenbergia sylvatica var. robusta,,,
MUSY,MUUM,Muhlenbergia umbrosa,,,
MUTE,,Muhlenbergia tenuiflora,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV)",L48(N)CAN(N),
MUTE,AGTE5,Agrostis tenuiflora,,,
MUTE,MUTEV,Muhlenbergia tenuiflora var. variabilis,,,
MUTE,MUTEV2,Muhlenbergia tenuiflora ssp. variabilis,,,
MUTE4,,Muhlenbergia tenuifolia,"USA(AZ, NM, TX)",L48(N),
MUTE4,MUMO2,Muhlenbergia monticola,,,
MUTO,,Muhlenbergia torreyana,"USA(DE, GA, MD, NC, NJ, NY, TN)",L48(N),
MUTO,SPTO7,Sporobolus torreyanus,,,
MUTO2,,Muhlenbergia torreyi,"USA(AZ, CO, KS, NM, NV, OK, TX, WY)",L48(N),
MUTO2,MUGR,Muhlenbergia gracillima,,,
MUUN,,Muhlenbergia uniflora,"CAN(BC, LB, NB, NF, NS, ON, QC), FRA(SB), USA(CT, MA, MD, ME, MI, MN, NH, NJ, NY, OR, PA, RI, VT, WI)",L48(N)CAN(N)SPM(N),
MUUN,MUUNT,Muhlenbergia uniflora var. terrae-novae,,,
MUUN,SPUN2,Sporobolus uniflorus,,,
MUVIV,,Muhlenbergia villiflora var. villosa,"USA(NM, TX)",L48(N),
MUVIV,MUVI,Muhlenbergia villosa,,,
MUCL,,Muilla clevelandii,USA(CA),L48(N),
MUCL,BLCL2,Bloomeria clevelandii,,,
MUMA2,,Muilla maritima,USA(CA),L48(N),
MUMA2,HEMA16,Hesperoscordium maritimum,,,
MUMA2,MUSE2,Muilla serotina,,,
MUMA2,MUTE7,Muilla tenuis,,,
MUCO6,,Multiclavula coronilla,,NA(N),
MUCO7,,Multiclavula corynoides,,NA(N),
MUMU4,,Multiclavula mucida,,NA(N),
MUSH,,Multiclavula sharpii,,NA(N),
MUVE2,,Multiclavula vernalis,,NA(N),
MUSQ3,,Munroa squarrosa,"CAN(AB, MB, SK), USA(AZ, CA, CO, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WY)",L48(N)CAN(N),
MUSQ3,MOSQ,Monroa squarrosa,,,
MUSQ3,MOSQF,Monroa squarrosa var. floccuosa,,,
MUSQ3,MUSQF,Munroa squarrosa var. floccuosa,,,
MUKE,,Murdannia keisak,"USA(AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, NJ, OR, SC, TN, VA, WA)",L48(I),"SEEPPC, STATE"
MUKE,ANKE3,Aneilema keisak,,,
MUNU,,Murdannia nudiflora,"USA+(PR), USA(AL, AR, FL, GA, HI, LA, MS, NC, PW, SC, TX)",L48(I)HI(I)PR(I),
MUNU,ANNU8,Aneilema nudicaule,,,
MUNU,ANNU9,Aneilema nudiflorum,,,
MUNU,CONU7,Commelina nudiflora,,,
MUSP,,Murdannia spirata,USA(FL),L48(I),
MUSP,ANSP4,Aneilema spiratum,,,
MUSP,COSP5,Commelina spirata,,,
MUEX2,,Murraya exotica,"USA+(PR, VI), USA(FL)",L48(I)PR(I)VI(I),
MUEX2,CHEX2,Chalcas exotica,,,
MUEX2,CHPA26,Chalcas paniculata,,,
MUEX2,MUPA4,Murraya paniculata,,,FLEPPC
MUPA3,,Musa ×paradisiaca,"USA+(PR), USA(FL, HI, LA, PW)",L48(I)HI(I)PR(I),
MUPA3,MUORN,Musa ornata var. normalis,,,
MUPA3,MUSA,Musa sapientum,,,
MUAC,,Musa acuminata,USA(FL),L48(I),
MUAC,MUCA5,Musa cavendishii,,,
MUAC,MUCH,Musa chinensis,,,
MUAC,MUZE,Musa zebrina,,,
MUBO,,Muscari botryoides,"CAN(BC, NF, NS, ON), USA(AL, AR, CA, CT, DC, DE, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OR, PA, RI, TN, TX, UT, VA, VT, WA, WI, WV)",L48(I)CAN(I),SEEPPC
MUBO,HYBO5,Hyacinthus botryoides,,,
MUCO2,,Muscari comosum,"USA(GA, IL, KY, MO, NC, OH, OR, PA, SC, TN, VA, WA)",L48(I),SEEPPC
MUCO2,LECO14,Leopoldia comosa,,,
MUNE,,Muscari neglectum,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NM, NY, OH, PA, SC, TN, TX, VA, WI, WV)",L48(I),
MUNE,MUAT,Muscari atlanticum,,,SEEPPC
MUNE,MURA2,Muscari racemosum,,,
MUDI,,Musineon divaricatum,"CAN(AB, MB, SK), USA(CO, ID, MT, ND, NE, NM, NV, SD, WY)",L48(N)CAN(N),
MUDI,MUDI2,Musineum divaricatum,,,
MUDIH,,Musineon divaricatum var. hookeri,"CAN(AB, MB, SK), USA(CO, ID, MT, ND, NV, SD, WY)",L48(N)CAN(N),
MUDIH,MUDIH2,Musineum divaricatum var. hookeri,,,
MUDIH,MUHO,Musineon hookeri,,,
MUDIH,MUTR3,Musineon trachyspermum,,,
MUTE3,,Musineon tenuifolium,"USA(CO, NE, SD, WY)",L48(N),
MUTE3,ALTE11,Aletes tenuifolius,,,
MUTE3,MUTE5,Musineum tenuifolium,,,
MYMU,,Mycelis muralis,"CAN(BC, ON, QC), USA(AK, ID, MA, ME, MI, MN, MT, NH, NY, OR, VT, WA)",L48(I)AK(I)CAN(I),
MYMU,LAMU,Lactuca muralis,,,
MYBE3,,Mycobilimbia berengeriana,,NA(N),
MYBE3,LEBE3,Lecidea berengeriana,,,
MYCA14,,Mycobilimbia carneoalbida,,NA(N),
MYCA14,BACA9,Bacidia carneoalbida,,,
MYCA14,BASP3,Bacidia sphaeroides,,,
MYCA14,BICA9,Biatora carneoalbida,,,
MYEP,,Mycobilimbia epixanthoides,,NA(N),
MYEP,BAEP,Bacidia epixanthoides,,,
MYEP,BIEP,Biatora epixanthoides,,,
MYFI,,Mycobilimbia fissuriseda,,NA(N),
MYFI,LEFI5,Lecidea fissuriseda,,,
MYHY,,Mycobilimbia hypnorum,,NA(N),
MYHY,LEAT11,Lecidea atrofusca,,,
MYHY,LEFU17,Lecidea fusca,,,
MYHY,LEHY11,Lecidea hypnorum,,,
MYHY,LESA12,Lecidea sanguineoatra,,,
MYHY,LETE17,Lecidea templetonii,,,
MYLO,,Mycobilimbia lobulata,,NA(N),
MYLO,TOLO3,Toninia lobulata,,,
MYSP5,,Mycobilimbia sphaeroides,,NA(N),
MYSP5,BASP2,Bacidia sphaeroides,,,
MYSP5,BISP,Biatora sphaeroides,,,
MYSP5,CASP27,Catillaria sphaeroides,,,
MYTE4,,Mycobilimbia tetramera,,NA(N),
MYTE4,BAFU2,Bacidia fusca,,,
MYTE4,BAOB3,Bacidia obscurata,,,
MYTE4,BATE5,Bacidia tetramera,,,
MYTE4,MYFU,Mycobilimbia fusca,,,
MYTE4,MYOB3,Mycobilimbia obscurata,,,
MYAF,,Mycoblastus affinis,,NA(N),
MYAF,MYME5,Mycoblastus melinus,,,
MYAL5,,Mycoblastus alpinus,,NA(N),
MYCA11,,Mycoblastus caesius,,NA(N),
MYFU3,,Mycoblastus fucatus,,NA(N),
MYMA3,,Mycoblastus marginatus,,NA(N),
MYSA5,,Mycoblastus sanguinarius,,NA(N),
MYAL7,,Mycocalicium albonigrum,,NA(N),
MYAL7,CAAL30,Calicium albonigrum,,,
MYAM,,Mycocalicium americanum,,NA(N),
MYCA6,,Mycocalicium calicioides,,NA(N),
MYCA6,SPCA9,Sphinctrinella calicioides,,,
MYFU2,,Mycocalicium fuscipes,,NA(N),
MYFU2,CAFU6,Calicium fuscipes,,,
MYRA,,Mycocalicium rappii,,NA(N),
MYRA2,,Mycocalicium ravenelii,,NA(N),
MYRA2,CARA17,Calicium ravenelii,,,
MYRE,,Mycocalicium reticulatum,,NA(N),
MYSE3,,Mycocalicium sequoiae,,NA(N),
MYSU,,Mycocalicium subtile,,NA(N),
MYSU,CASU49,Calicium subtile,,,
MYSU,MYPA5,Mycocalicium parietinum,,,
MYAC2,,Mycoglaena acuminans,,NA(N),
MYAL9,,Mycoglaena alni,,NA(N),
MYCA12,,Mycoglaena canadensis,,NA(N),
MYEL2,,Mycoglaena elegans,,NA(N),
MYME3,,Mycoglaena meridionalis,,NA(N),
MYMY2,,Mycoglaena myricae,,NA(N),
MYQU2,,Mycoglaena quercicola,,NA(N),
MYSU4,,Mycoglaena subcoerulescens,,NA(N),
MYCA7,,Mycomicrothelia capitosa,,NA(N),
MYDO,,Mycomicrothelia dothideaspora,,NA(N),
MYHE4,,Mycomicrothelia hemisphaerica,,NA(N),
MYIN2,,Mycomicrothelia inaequalis,,NA(N),
MYSU2,,Mycomicrothelia subfallens,,NA(N),
MYWA2,,Mycomicrothelia wallrothii,,NA(N),
MYWA2,MIOB3,Microthelia oblongula,,,
MYWA2,MIWA4,Microthelia wallrothii,,,
MYWI,,Mycomicrothelia willeyana,,NA(N),
MYWI,MIWI,Microthelia willeyana,,,
MYAC3,,Mycoporum acervatum,,NA(N),
MYAN,,Mycoporum antecellens,,NA(N),
MYAN,ARAN11,Arthopyrenia antecellens,,,
MYBU2,,Mycoporum buckii,,NA(N),
MYCA15,,Mycoporum californicum,,NA(N),
MYCA15,MYCA8,Mycoporellum californicum,,,
MYCA15,TOCA3,Tomasellia californica,,,
MYCO6,,Mycoporum compositum,,NA(N),
MYCO6,DEPY,Dermatina pyrenocarpa,,,
MYCO6,MYOH,Mycoporum ohiense,,,
MYCO6,MYPY2,Mycoporum pycnocarpum,,,
MYES,,Mycoporum eschweileri,,NA(N),
MYES,TOES,Tomasellia eschweileri,,,
MYLA8,,Mycoporum lacteum,,NA(N),
MYLA8,MYDI3,Mycoporellum difforme,,,
MYLA8,MYHA3,Mycoporellum hassei,,,
MYLA8,TOLA3,Tomasellia lactea,,,
MYMY3,,Mycoporum mycoporoides,,NA(N),
MYPY,,Mycoporum pycnocarpoides,,NA(N),
MYSP6,,Mycoporum sparsellum,,NA(N),
MYSP6,MYSP4,Mycoporellum sparsellum,,,
MYSP6,TOSP2,Tomasellia sparsella,,,
MYUN,,Mycoporum uniloculatum,,NA(N),
MYAU,,Myelochroa aurulenta,,NA(N),
MYAU,PAAU12,Parmelina aurulenta,,,
MYAU,PAAU9,Parmelia aurulenta,,,
MYAU,PASI2,Parmelia silvestris,,,
MYGA2,,Myelochroa galbina,,NA(N),
MYGA2,PAGA2,Parmelia galbina,,,
MYGA2,PAGA3,Parmelina galbina,,,
MYGA2,PASU26,Parmelia subquercifolia,,,
MYME4,,Myelochroa metarevoluta,,NA(N),
MYME4,PAME12,Parmelia metarevoluta,,,
MYME4,PAME14,Parmelina metarevoluta,,,
MYOB2,,Myelochroa obsessa,,NA(N),
MYOB2,PAFI11,Parmelia finkii,,,
MYOB2,PAOB4,Parmelia obsessa,,,
MYOB2,PAOB5,Parmelina obsessa,,,
MYAS2,,Myosotis asiatica,"CAN(AB, BC, NT, YT), USA(AK, CO, ID, MT, OR, WA, WY)",L48(N)AK(N)CAN(N),
MYAS2,MYAL,Myosotis alpestris,,,
MYAS2,MYALA2,Myosotis alpestris ssp. asiatica,,,
MYAS2,MYSYA,Myosotis sylvatica var. alpestris,,,
MYDI,,Myosotis discolor,"CAN(BC, NS, ON, QC), USA(AL, AR, CA, DE, GA, HI, ID, KY, LA, MA, MD, MI, MS, MT, NC, NJ, NV, NY, OH, OR, PA, SC, VA, WA, WI)",L48(I)HI(I)CAN(I),
MYDI,MYVE5,Myosotis versicolor,,,
MYSC,,Myosotis scorpioides,"CAN(BC, MB, NB, NF, NS, ON, PE, QC, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",L48(I)AK(I)CAN(I)SPM(I),WI
MYSC,MYPA2,Myosotis palustris,,,
MYST2,,Myosotis stricta,"CAN(AB, BC, NB, NS, ON, QC), USA(CA, CT, DC, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MO, MT, NC, NE, NH, NJ, NV, NY, OH, OR, PA, UT, VA, VT, WA, WI, WY)",L48(I)CAN(I),
MYST2,MYMI,Myosotis micrantha,,,
MYVE,,Myosotis verna,"CAN(BC, ON, QC), USA(AL, AR, AZ, CA, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY)",L48(N)CAN(N),
MYVE,MYVI2,Myosotis virginica,,,
MYAQ,,Myosoton aquaticum,"CAN(BC, ON, QC), USA(CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NY, OH, PA, TN, VA, VT, WI, WV)",L48(I)CAN(I),
MYAQ,ALAQ,Alsine aquatica,,,
MYAQ,CEAQ,Cerastium aquaticum,,,
MYAQ,MAAQ3,Malachium aquaticum,,,
MYAQ,STAQ4,Stellaria aquatica,,,
MYAPB,,Myosurus apetalus var. borealis,"CAN(AB, BC, SK), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)",L48(N)CAN(N),
MYAPB,MYAR3,Myosurus aristatus,,,
MYAPB,MYMIA3,Myosurus minimus var. aristatus,,,
MYMI2,,Myosurus minimus,"CAN(AB, BC, MB, ON, SK), USA(AL, AR, AZ, CA, CO, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MN, MO, MS, MT, NC, ND, NE, NM, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WY)",L48(N)CAN(N),
MYMI2,MYCL,Myosurus clavicaulis,,,
MYMI2,MYLE3,Myosurus lepturus,,,
MYMI2,MYMIA,Myosurus minimus ssp. apus,,,
MYMI2,MYMIA7,Myosurus minimus var. apus,,,
MYMI2,MYMIC3,Myosurus minimus var. clavicaulis,,,
MYMI2,MYMIF2,Myosurus minimus var. filiformis,,,
MYMI2,MYMII,Myosurus minimus var. interior,,,
MYMI2,MYMIL,Myosurus minimus var. lepturus,,,
MYMI2,MYMIM,Myosurus minimus ssp. major,,,
MYMI2,MYMIM7,Myosurus minimus var. major,,,
MYNI,,Myosurus nitidus,"USA(AZ, CO, NM)",L48(N),
MYNI,MYEG2,Myosurus egglestonii,,,
MYSE2,,Myosurus sessilis,"USA(CA, OR)",L48(N),
MYSE2,MYAL6,Myosurus alopecuroides,,,
MYSE2,MYMIS2,Myosurus minimus var. sessiliflorus,,,
MYCIC,,Myrcia citrifolia var. citrifolia,"USA+(PR, VI)",PR(N)VI(N),
MYCIC,AUCI,Aulomyrcia citrifolia,,,
MYDE,,Myrcia deflexa,USA+(PR),PR(N),
MYDE,EUDE9,Eugenia deflexa,,,
MYFA3,,Myrcia fallax,USA+(PR),PR(N),
MYFA3,MYBE2,Myrcia berberis,,,
MYMA4,,Myrcia margarettiae,USA+(PR),PR(N),
MYMA4,EUMA11,Eugenia margarettiae,,,
MYMA4,MYMA9,Myrcia margarettae,,,
MYSP,,Myrcia splendens,"USA+(PR, VI)",PR(N)VI(N),
MYSP,MYSP3,Myrtus splendens,,,
MYFR,,Myrcianthes fragrans,"USA+(PR, VI), USA(FL)",L48(N)PR(N)VI(N),
MYFR,ANDI5,Anamomis dicrana,,,
MYFR,ANFR3,Anamomis fragrans,,,
MYFR,ANSI3,Anamomis simpsonii,,,
MYFR,EUDI7,Eugenia dicrana,,,
MYFR,EUSI7,Eugenia simpsonii,,,
MYFR,MYFRS,Myrcianthes fragrans var. simpsonii,,,
MYCA9,,Myrciaria cauliflora,,,
MYCA9,EUCA17,Eugenia cauliflora,,,
MYFL,,Myrciaria floribunda,"USA+(PR, VI)",PR(N)VI(N),
MYFL,EUFL6,Eugenia floribunda,,,
MYGA,,Myrica gale,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, CT, MA, ME, MI, MN, NC, NH, NJ, NY, OR, PA, RI, VT, WA, WI)",L48(N)AK(N)CAN(N)SPM(N),
MYGA,GAPA8,Gale palustris,,,
MYGA,MYGAS,Myrica gale var. subglabra,,,
MYGA,MYGAS2,Myrica gale var. subarctica,,,
MYGA,MYGAT,Myrica gale var. tomentosa,,,
MYAL8,,Myrionora albidula,,NA(N),
MYAL8,BIAL2,Biatorella albidula,,,
